localminute,dataid,meter_value
2015-10-01 11:23:56-05,6910,179128
2015-10-01 11:24:05-05,9639,211660
2015-10-01 11:24:12-05,6910,179128
2015-10-01 11:24:20-05,1507,390370
2015-10-01 11:24:33-05,1589,193942
2015-10-01 11:24:37-05,8156,251826
2015-10-01 11:24:52-05,35,93474
2015-10-01 11:24:58-05,7460,279322
2015-10-01 11:25:10-05,7017,375952
2015-10-01 11:25:23-05,9849,33638
2015-10-01 11:25:24-05,2335,202098
2015-10-01 11:26:33-05,1556,202700
2015-10-01 11:26:42-05,94,116646
2015-10-01 11:26:45-05,1619,63448
2015-10-01 11:26:59-05,94,116646
2015-10-01 11:27:02-05,3134,162388
2015-10-01 11:27:16-05,5810,97516
2015-10-01 11:27:21-05,5129,153672
2015-10-01 11:27:37-05,8156,251826
2015-10-01 11:27:39-05,9631,108360
2015-10-01 11:27:41-05,4998,162996
2015-10-01 11:27:44-05,5810,97516
2015-10-01 11:27:48-05,6412,133032
2015-10-01 11:27:54-05,1718,161082
2015-10-01 11:28:02-05,2034,72396
2015-10-01 11:28:10-05,3527,235120
2015-10-01 11:28:24-05,9474,206450
2015-10-01 11:28:27-05,1185,139348
2015-10-01 11:28:34-05,1790,296376
2015-10-01 11:28:44-05,3893,89556
2015-10-01 11:28:44-05,7674,265084
2015-10-01 11:28:47-05,2034,72396
2015-10-01 11:29:03-05,7429,132644
2015-10-01 11:29:18-05,739,88870
2015-10-01 11:29:27-05,6910,179128
2015-10-01 11:29:32-05,114,128308
2015-10-01 11:29:37-05,3778,117182
2015-10-01 11:29:39-05,1589,193942
2015-10-01 11:29:41-05,8155,243618
2015-10-01 11:29:53-05,7741,271148
2015-10-01 11:29:54-05,9729,122198
2015-10-01 11:30:08-05,871,106464
2015-10-01 11:30:13-05,1714,147060
2015-10-01 11:30:36-05,7287,221052
2015-10-01 11:30:37-05,8156,251826
2015-10-01 11:30:42-05,5403,112918
2015-10-01 11:30:53-05,7741,271148
2015-10-01 11:31:03-05,3134,162388
2015-10-01 11:31:07-05,3527,235120
2015-10-01 11:31:07-05,871,106464
2015-10-01 11:31:30-05,3893,89556
2015-10-01 11:31:43-05,1697,266194
2015-10-01 11:32:03-05,2034,72396
2015-10-01 11:32:05-05,7287,221052
2015-10-01 11:32:10-05,484,99316
2015-10-01 11:32:10-05,1589,193942
2015-10-01 11:32:14-05,1801,110112
2015-10-01 11:32:15-05,5810,97518
2015-10-01 11:32:27-05,2449,171138
2015-10-01 11:32:31-05,8467,87008
2015-10-01 11:32:48-05,6910,179128
2015-10-01 11:33:05-05,1714,147060
2015-10-01 11:33:10-05,1589,193942
2015-10-01 11:33:10-05,9134,230548
2015-10-01 11:33:12-05,3778,117182
2015-10-01 11:33:20-05,6910,179128
2015-10-01 11:33:41-05,5403,112918
2015-10-01 11:33:45-05,7674,265084
2015-10-01 11:33:51-05,1714,147060
2015-10-01 11:33:51-05,7287,221054
2015-10-01 11:34:02-05,2034,72396
2015-10-01 11:34:05-05,4031,104666
