,localminute,dataid,meter_value
258,2015-10-01 13:12:12-05,94,116648
259,2015-10-01 13:13:25-05,94,116648
260,2015-10-01 13:18:37-05,94,116648
261,2015-10-01 13:32:58-05,94,116648
262,2015-10-01 13:36:16-05,94,116648
263,2015-10-01 13:46:42-05,94,116648
264,2015-10-01 13:48:12-05,94,116648
265,2015-10-01 13:57:50-05,94,116648
266,2015-10-01 13:59:48-05,94,116648
267,2015-10-01 14:03:52-05,94,116648
268,2015-10-01 14:10:42-05,94,116648
269,2015-10-01 14:14:02-05,94,116648
270,2015-10-01 14:16:25-05,94,116648
271,2015-10-01 14:17:50-05,94,116648
272,2015-10-01 14:23:52-05,94,116648
273,2015-10-01 14:48:38-05,94,116648
274,2015-10-01 14:52:37-05,94,116648
275,2015-10-01 14:59:17-05,94,116648
276,2015-10-01 15:07:24-05,94,116648
277,2015-10-01 15:11:30-05,94,116648
278,2015-10-01 15:14:28-05,94,116648
279,2015-10-01 15:20:24-05,94,116648
280,2015-10-01 15:20:37-05,94,116648
281,2015-10-01 15:21:54-05,94,116648
282,2015-10-01 15:25:21-05,94,116648
283,2015-10-01 15:26:24-05,94,116648
284,2015-10-01 15:30:53-05,94,116648
285,2015-10-01 15:34:20-05,94,116648
286,2015-10-01 15:35:48-05,94,116648
287,2015-10-01 15:38:41-05,94,116648
288,2015-10-01 16:13:44-05,94,116648
289,2015-10-01 16:15:28-05,94,116648
290,2015-10-01 16:23:07-05,94,116648
291,2015-10-01 16:24:20-05,94,116648
292,2015-10-01 16:26:22-05,94,116648
293,2015-10-01 16:29:52-05,94,116648
294,2015-10-01 16:32:51-05,94,116648
295,2015-10-01 16:39:17-05,94,116648
296,2015-10-01 16:39:44-05,94,116648
297,2015-10-01 16:48:43-05,94,116648
298,2015-10-01 16:52:54-05,94,116648
299,2015-10-01 16:54:38-05,94,116648
300,2015-10-01 16:56:40-05,94,116648
301,2015-10-01 17:01:40-05,94,116648
302,2015-10-01 17:03:32-05,94,116648
303,2015-10-01 17:09:02-05,94,116648
304,2015-10-01 17:17:29-05,94,116648
305,2015-10-01 17:31:51-05,94,116648
